content,title,Cat
‘Megalopolis’ Acquired by Studiocanal for European TV and SVOD Rights,"Studiocanal has bought European TV and SVOD rights to Francis Ford Coppola’s “Megalopolis” as part of a deal spanning seven years.

The pact excludes Spain, Russia and pay 1 in France where “Megalopolis” was released by Le Pacte on Sept. 25 and has so far... [1346 symbols]",No Sale
"Judge sides with FTC, blocking Kate Spade and Michael Kors merger","A federal judge in New York on Thursday sided with the Federal Trade Commission, effectively blocking the merger of the company behind Coach and Kate Spade with the company that controls Michael Kors.

""Antitrust has come into fashion,"" the judge wrote as... [1806 symbols]",No Sale
"Montez Sweat, 1 year after Chicago Bears acquired him from Washington Commanders, is ‘happy being somewhere that I’m wanted’","Montez Sweat has had a lot go right since the Washington Commanders traded him to the Chicago Bears on Halloween one year ago.

The defensive end signed a four-year, $98 million contract extension with the Bears four days after the trade. He recorded six ... [5449 symbols]",No Sale
"Judge blocks $8.5B merger of luxe brands Coach, Michael Kors in shock setback","A US judge blocked the pending $8.5 billion merger of handbag and accessories maker Tapestry and Capri on Thursday, a victory for the Federal Trade Commission in an industry where merger challenges are rare.

The FTC argued at an eight-day trial in New Yo... [1672 symbols]",No Sale
Tapestry-Capri merger blocked by U.S. judge,null,No Sale
Tapestry's proposed $8.5B Capri acquisition is blocked by judge,"A U.S. judge blocked the proposed $8.5 billion merger between Coach parent Tapestry and Michael Kors owner Capri Holdings on Thursday. Why it matters: The move essentially kills the deal and marks a huge win for the Federal Trade Commission, which has a s... [712 symbols]",No Sale
Judge blocks Coach owner Tapestry's proposed acquisition of Michael Kors owner Capri,"A federal judge blocked Tapestry's acquisition of Capri on Thursday following a brief trial last month in New York.

In her order, Judge Jennifer Rochon granted the Federal Trade Commission's motion for a preliminary injuction to block the proposed merger... [463 symbols]",No Sale
How the US election could impact LIV Golf-PGA merger,"The upcoming presidential election could shape the future of golf's civil war, it has been claimed.

The sport has been riven since LIV Golf, funded by Saudi Arabia's Public Investment Fund, launched a breakaway league and began poaching playing from the ... [2259 symbols]",No Sale
'Cruel Intentions' Series Merges 1999 Film's Salacious Step-Sibling Love Triangle with Modern-Day Greek Life: See the Trailer,"is back — and this time, truly nothing is off-limits.

The upcoming Prime Video series introduces a new step-sibling duo, Caroline ( Sarah Catherine Hook ) and Lucien (Zac Burgess), whose kingdom is the elite Manchester College. Their target is none other... [3448 symbols]",No Sale
Sweden’s International Oscars Submission ‘The Last Journey’ Acquired Globally by Universal Pictures Content Group,"Sweden’s international feature submission for the 97th Academy Awards has been snapped up by Universal Pictures Content Group (UPCG).

UPCG has acquired all international rights to the film, with Universal Pictures International planning a theatrical rele... [1898 symbols]",No Sale
Brazil's Hypera rejects EMS merger offer offer on 'significant' undervaluation,"SAO PAULO, Oct 24 (Reuters) - The board of directors of Brazil's pharmaceutical company Hypera (HYPE3.SA) has unanimously decided to reject rival EMS's offer to merge, it said on Thursday, adding that the proposal ""significantly"" undervalued the firm.

A ... [1577 symbols]",No Sale
SEB CEO: No meaningful acquisitions planned but supportive of consolidation in the sector,null,No Sale
"TKO Group Will Acquire PBR, IMG and On Location From Majority Owner Endeavor in $3.25 Billion Deal","Ari Emanuel’s Endeavor is transferring several sports assets — including the Professional Bull Riders — to TKO Group, the holding company of WWE and UFC.

TKO announced it has reached a definitive agreement with Endeavor Group (which owns a majority stake... [4809 symbols]",No Sale
"TKO Group to acquire IMG, Professional Bull Riders and On Location from Endeavor for $3.25 billion","TKO CEO Ari Emanuel and Dwayne ""The Rock"" Johnson speak to CNBC at the New York Stock Exchange (NYSE) in New York City, U.S., January 23, 2024.

TKO Group , the company that owns WWE and UFC, is expanding into sports-adjacent properties by acquiring three... [2590 symbols]",No Sale
Yankees will face aces they tried to acquire in World Series,"LOS ANGELES — As the Yankees pursued Yoshinobu Yamamoto on the open market this past offseason, the organization envisioned the Japanese right-hander taking the mound in pinstripes, helping them win a World Series.

They wanted him so badly, they were wil... [309 symbols]",No Sale
Salus president was surprised by merger partner Drexel’s financial woes: ‘We’re not happy about it’,"Michael Mittelman (left), president of Salus University, and John A. Fry, former president of Drexel University, sign documents for the merger of their schools at the Anthony J. Drexel Picture Gallery on Drexel's campus in June 2023. Now Fry has left to b... [8322 symbols]",No Sale
Frederick McCubbin descendant backs WA Museum acquisition of perspex vandalised by climate protesters,"A close descendant of the acclaimed artist Frederick McCubbin has come out in support of the Western Australian Museum after it came under fire over an unusual acquisition.

The museum confirmed this week it had acquired the perspex glass protecting one o... [5482 symbols]",No Sale
"Disney Hotstar head Sivanandan quits after India merger with Reliance, sources say","NEW DELHI, Oct 24 (Reuters) - The head of U.S. giant Disney's Hotstar streaming app in India, Sajith Sivanandan, has resigned, three sources said on Thursday, as business integration gathers pace after the company's $8.5 billion merger with Reliance's Ind... [1589 symbols]",Sale
Gary man acquitted in fatal Glen Park drive-by shooting,"A jury deliberated briefly Wednesday before acquitting a Gary man of gunning down the boyfriend of his then-girlfriend’s mother.

Anthony Cruz, 46, was on trial this week, charged with murder and a gun enhancement in the Nov. 17, 2022 shooting death of Ke... [2031 symbols]",No Sale
"Frontier, Spirit revive merger attempt after failed JetBlue combination, WSJ reports","Frontier Airlines is exploring a revived bid for Spirit Airlines Inc., the Wall Street Journal reported.

The budget carriers recently held talks, though discussions are at an early stage and may not lead to a deal, the WSJ said, citing unidentified peopl... [1002 symbols]",No Sale
"As Funding Crisis Looms, Poll Shows Broad Support For Merger Of Regional Transit Agencies","The Illinois Clean Jobs Coalition this week released selective portions of the results of a poll conducted in mid-September by Global Strategy Group of 600 likely voters via telephone and text with a margin of error of 4 percent. Statewide, 46 percent of ... [4509 symbols]",No Sale
Kansas City acquires star WR in a trade: Report,"Kansas City addressed one of its biggest roster needs.

The team is finalizing a deal with the Tennessee Titans to acquire wide receiver DeAndre Hopkins, ESPN’s Adam Schefter reported Wednesday morning. The Titans would receive a fifth-round draft pick th... [1125 symbols]",No Sale
Spirit Airlines stock soars 37% because a merger with Frontier might be back on,"Spirit Airlines stock soars 37% because a merger with Frontier might be back on

After a failed attempt at merging with JetBlue (JBLU), ultra-low-cost carrier Spirit Airlines (SAVE) is reportedly turning back to a familiar frenemy.



The Wall Street Jour... [1919 symbols]",No Sale
Report: Chiefs finalizing deal to acquire five-time Pro Bowl WR DeAndre Hopkins from Titans,"With their passing game struggling in the wake of a season-ending injury to top wide receiver Rashee Rice, the Kansas City Chiefs are finalizing a trade to acquire five-time Pro Bowl receiver DeAndre Hopkins, according to an ESPN report.

League sources t... [1578 symbols]",No Sale
🌊 The Current: Big bank merger,"🏦 Atlantic Union Bank is acquiring Maryland-based Sandy Spring Bank and its 53 branches in the DMV in a $1.6 billion stock deal, making it the Richmond-based bank's biggest acquisition ever. (BizSense)

🎰 Rivers Casino in Portsmouth, the first permanent... [550 symbols]",No Sale
German court rules against Deutsche Bank in PostBank acquisition lawsuit,"Deutsche Bank offices in the City of London on July 2, 2024, in London, U.K.

Cologne's higher regional court on Wednesday ruled against Deutsche Bank in a long-standing legal dispute with shareholders who alleged the lender underpaid in its acquisition o... [439 symbols]",No Sale
Jeremy Pope’s Short ‘God Is Good’ Acquired by The Criterion Channel,"Jeremy Pope’s short “God Is Good” has been acquired by The Criterion Channel.

Inspired by the actor and singer’s debut “EP Last Name: Pope,” Pope wrote and stars in the film, which was directed by C Prinz and choreographed by Parris Goebel.

The film is ... [1523 symbols]",No Sale
Court briefs: Acquittal in drug slaying; man charged with assault,"Michael Baker was acquitted Friday in the Jan. 21, 2023 murder of Demetri Russell, 29.

Deputy Prosecutors Judy Massa and John Holmen argued he killed Russell while selling him drugs inside a building on the 500 block of Chase Street in Gary.

Court recor... [4669 symbols]",No Sale
Republic Pictures Acquires Alex Winter’s Dark Comedy ‘Adulthood’ for U.S. and Canada,"Republic Pictures has nabbed U.S. and Canadian rights to “Adulthood,” directed by Alex Winter and penned by novelist Michael M.B. Galvin.

Described as darkly comic and modern-noir, “Adulthood” follows sister and brother Megan and Noah who are barely hang... [1799 symbols]",No Sale
Two men plead guilty to Canadian killing of Sikh man acquitted in 1985 Air India bombing,"Two men have pleaded guilty to the contract killing of a Sikh man who was acquitted in the 1985 bombing of an Air India flight from Montreal to Mumbai.

According to an agreed statement of facts released by a British Columbia court on Monday, Tanner Fox a... [4701 symbols]",No Sale
The Setlist: Nashville-based CareBridge acquired in mega deal,"💰 CareBridge, which is Nashville's fastest growing company, is being purchased by a public company from Indianapolis. The acquisition is valued at $2.7 billion. (Nashville Business Journal, subscription)

🏒 The winless Predators are calling up 21-year-o... [450 symbols]",No Sale
Two plead guilty in Canada for killing man acquitted in Air India bombing,"Ripudaman Singh Malik, acquitted in 2005 of the attack that killed 329 people, was shot dead in British Columbia in 2022.

Two men have pleaded guilty to second-degree murder in a Canadian court for their role in the killing of Sikh businessman Ripudaman ... [3474 symbols]",No Sale
George Soros Acquires Another Media Company as Conservatives Ponder Strategies,"Republicans are up in arms over liberal megadonor George Soros’s increasing stranglehold of the media landscape, even while some conservatives ask why Republican donors are not adopting similar outside-the-box tactics to shape public opinion.

The anti-So... [4816 symbols]",Sale
Julius Randle joins Timberwolves as key acquisition in Karl-Anthony Towns trade: ‘I’m more of a passer than a scorer’,"‘Canoes’ may be the best collection of short stories this year

Looking ahead: What’s next for Napheesa Collier, Kayla McBride and the rest of the Lynx?

Can the DFL keep the Third District without Dean Phillips?

In the summer of 2018, Julius Randle sign... [7013 symbols]",No Sale
Historic coins found by metal detectorists acquired for record £4.3m,"It has been described as a once in a lifetime discovery that gives Britain a unique insight into its rich history.

But it's the team of metal detectorists who unearthed the UK's most valuable treasure hoard ever that will be celebrating the most after th... [5579 symbols]",No Sale
Nippon Steel spends whopping $1.3 million on lobbying amid merger threat,"The Japanese steelmaker Nippon Steel paid its primary lobbying firm $1.3 million during a dangerous period for its proposed acquisition of U.S. Steel over the summer.

From July through September, Nippon Steel spent more on federal lobbying than the combi... [2152 symbols]",No Sale
Slipstream acquires Anthem Entertainment’s production music brands,"Music licensing platform Slipstream has acquired Anthem Entertainment's production music business, adding more than 650,000 tracks that can be licensed for movies, TV, digital media and ads. Why it matters: The deal is a bet on making the discovery and li... [1954 symbols]",Sale
Police footage shows moment Chris Kaba was shot by officer now acquitted of murder,"Newly released footage shows the incident in which 24-year-old Chris Kaba was fatally shot by police officer Martyn Blake during a police stop on a residential street in south London on 5 September 2022. On Monday, a jury acquitted Blake of murder after d... [701 symbols]",No Sale
London police officer who fatally shot Chris Kaba acquitted of murder,"Officer found not guilty in death of Chris Kaba, who was unarmed when he was shot in September 2022.

A London police officer who fatally shot a Black man two years ago has been acquitted of murder.

Martyn Blake, a 40-year-old marksman with the Metropoli... [2396 symbols]",No Sale
Minneapolis firm acquires Plymouth campus leased by Allina Health,"A Minneapolis-based real estate firm has paid $72 million to acquire West Health, a large campus of medical buildings in Plymouth that’s occupied by Allina Health.

The three-building facility is a prominent outpatient medical center in the west metro wit... [1295 symbols]",No Sale
Health insurance giants restart merger talks,"Health insurance giants Cigna and Humana have rekindled merger talks that they had abandoned late last year, as first reported by Bloomberg and confirmed by Axios. Why it matters: This would create a new titan in a health-care industry dominated by them, ... [1557 symbols]",No Sale
London police officer who fatally shot a Black motorist is acquitted of murder,"A London police officer who fatally shot a Black motorist two years ago has been acquitted of murder

London police officer who fatally shot a Black motorist is acquitted of murder

By The Associated Press

LONDON -- A London police officer who fatally sh... [924 symbols]",No Sale
Met police officer who shot Chris Kaba acquitted of murder,"A Metropolitan police armed officer on trial for murder after shooting an unarmed suspect in the head has been acquitted.

Martyn Blake shot Chris Kaba in September 2022 on a residential street in Streatham, south London.

Kaba, 24, was driving an Audi th... [602 symbols]",No Sale
Local police apologises to man acquitted from nearly 50 years on death row,"Iwao Hakamada, 88, a former boxer, was acquitted in September by the Shizuoka District Court, which said police and prosecutors collaborated to fabricate and plant evidence against him and forced him to confess during violent, hours-long closed interrogat... [308 symbols]",No Sale
Home services platform Zephyr raises $60M to grow through acquisitions,"Zoom in: Elda River Capital and the Pritzker Organization co-led the round, with participation from Juxtapose. Zephyr has raised about $100 million since New York-based venture studio Juxtapose launched it with Weidmann and co-founder Deklan Robinson in 2... [2529 symbols]",No Sale
Environmentalists acquitted after contentious murder trial in El Salvador,"Six former guerrillas, whose trial for a civil war-era murder was criticised by fellow environmentalists as politicised, have been acquitted by a court in El Salvador.

Prosecutors had sought up to 36 years in prison for the former rebels of the hard-left... [1793 symbols]",No Sale
"India's HDFC Bank sees pre-merger loan-to-deposit ratio in 2-3 years, CFO says","MUMBAI, Oct 19 (Reuters) - HDFC Bank (HDBK.NS) , India's largest private lender, aims to lower its loan-to-deposit ratio (LDR) to pre-merger levels in the next two to three years, its chief financial officer said on Saturday.

The bank's LDR was at around... [2237 symbols]",No Sale
Klay Thompson among five NBA free-agent acquisitions that could drive teams to title,"The message is clear: If an NBA team is at least a 50-win squad (or close to it) with multiple stars (or burgeoning stars), the time to make a title push is now.

Since Golden State won back-to-back titles in 2017 and 2018, no team has repeated as champ a... [4116 symbols]",No Sale
Former St. Thomas men’s track athlete acquitted of sexual assault of freshman at party,"A Ramsey County jury acquitted a former St. Thomas student and track athlete of sexual assault after he was accused of raping a freshman female track athlete at a house party where other members of the men’s track team lived.

Jack S. Osborne, 25, of St. ... [1907 symbols]",No Sale
Man who slugged grandma on TriMet bus acquitted of most serious charge,"Randy Sturdevant took the witness stand this week and made no bones about the wallop he landed on a woman who was taking a ride with her granddaughter on the Line 75 bus three years ago.

“I meant to hit the older lady,” Sturdevant said in Multnomah Count... [322 symbols]",No Sale
Calumet City initiates eminent domain to acquire River Oaks Center,"After years of attempts to take over the River Oaks Center mall, Calumet City took steps Thursday to acquire portions of the property through eminent domain.

Mayor Thaddeus Jones pitched his plan for quick-take action of the long declining shopping cente... [2496 symbols]",No Sale
"Studiocanal Acquires Global Rights to ‘12 Years a Slave,’ ‘The Tree of Life’ and More River Road Entertainment Titles","Studiocanal and River Road Entertainment have announced an exclusive global distribution deal for 11 celebrated films, including Steve McQueen’s Oscar-winning “12 Years a Slave,” Terrence Malick’s Palme d’Or-winning “The Tree of Life” and Sean Penn’s crit... [3404 symbols]",No Sale
"Streamers’ Evolving Acquisition Strategy Brings New Opportunities and Challenges for Broadcasters, Indie Producers","Last month, Netflix CEO Ted Sarandos enjoyed a coronation of sorts at the Royal Television Society conference in London, which the streaming giant was hosting. In a show of muscle, Netflix pulled in appearances from speakers including “Peaky Blinders” cre... [7116 symbols]",No Sale
Bradley Tusk on potential Uber-Expedia acquisition: The company needs to keep expanding,"Bradley Tusk on potential Uber-Expedia acquisition: The company needs to keep expanding

Bradley Tusk, Tusk Ventures CEO, joins 'Squawk Box' to discuss news of Uber considering a bid for travel booking company Expedia, antitrust concerns, impact of the 20... [298 symbols]",No Sale
Health officials investigating string of locally-acquired dengue cases in LA County,"Los Angeles County Department of Public Health officials have reported two additional cases of locally acquired dengue, a mosquito-borne illness that has been located in several other nearby cities in recent weeks. Rachel Kim reports.",No Sale
Hulu Acquires Holiday Comedy ‘Nutcrackers’ Starring Ben Stiller,"Ben Stiller‘s comedy “Nutcrackers” has been acquired by Hulu and will stream exclusively on the service in the U.S. starting Nov. 29.

The streamer acquired the worldwide rights to the film, which is directed by David Gordon Green. Green’s lengthy credits... [1834 symbols]",No Sale
The Race Media announces acquisition ahead of Grand Prix,"Last year's start of the F1 Grand Prix at the Circuit of The Americas in Austin. Photo: Mark Thompson/Getty Images

Motorsports content company The Race Media has been acquired by RAFA Media, the companies announced in Austin ahead of Formula One this wee... [1672 symbols]",Sale
Stripe in talks to acquire crypto payments startup Bridge - Report,"Payments giant Stripe is in ""advanced talks"" to acquire crypto payments startup Bridge, Bloomberg reports. Why it matters: The acquisition would bring further heft to Stripe's second attempt at crypto payments, signaling it's willing to risk spending big ... [1373 symbols]",No Sale
Randy Newman’s Publishing and Recorded Music Rights Acquired by Litmus Music,"Litmus Music has acquired Randy Newman‘s music publishing and his stake in his recorded music catalog, the company announced Thursday. The deal includes both songs and film scores from throughout his entire career, which dates back to the 1960s.

Among th... [3138 symbols]",No Sale
"Acquiring Expedia would be a 'major strategic home run' for Uber, says Wedbush's Dan Ives","Acquiring Expedia would be a 'major strategic home run' for Uber, says Wedbush's Dan Ives

Dan Ives, Wedbush Securities managing partner, joins 'Squawk Box' to discuss news of Uber exploring a possible bid for the travel booking website Expedia, why he be... [317 symbols]",No Sale
South Korea: Seoul police chief acquitted over Halloween Itaewon crush,A South Korean court has acquitted Seoul's former police chief of negligence over the Halloween crowd crush that killed 159 people in 2022. Kim Kwang-ho was the highest-ranked police official to be charged over the tragedy in the Itaewon nightlife distric... [2348 symbols],No Sale
‘American Sports Story’ Producers on Showing Aaron Hernandez Commit Double Murders He Was Acquitted of: ‘He Did Do Those Murders’,"SPOILER ALERT: The following interview contains spoilers from “Herald Street,” the Oct. 15 episode of FX’s “American Sports Story: Aaron Hernandez,” now streaming on Hulu.

Although “American Sports Story: Aaron Hernandez” is a dramatization of the rise a... [2841 symbols]",No Sale
The business behind ShopRite stores acquired the Di Bruno Bros. trademark and product line,"Exterior of Di Bruno Bros., 930 S. 9th St., Philadelphia PA., on Monday, April 1, 2024. This south Philadelphia business is being sold to Jeff Brown of Shoprite grocery stores. Read more

The Di Bruno Bros. trademark and its branded products have been acq... [3480 symbols]",Sale
Media: 🇯🇵 Anime acquisition,"The Washington Post has a solution for growth: M&A.

Why it matters: Digital media upstarts potentially have a new exit option as competition for attention and dollars increases.

Zoom in: The New York Times reported yesterday that Post CEO Will Lewis sai... [973 symbols]",No Sale
"Lynley, a new imagining of the hit crime novels, acquired by the BBC","The BBC has acquired Lynley, an upcoming contemporary update of the compelling mystery crime series based on the best-selling novels by Elizabeth George, for BBC One and BBC iPlayer.

Leo Suter (Vikings: Valhalla) and Sofia Barclay (Ted Lasso) star as the... [2988 symbols]",No Sale
Auto repair shop management company Tekmetric acquires CRM provider Shopgenie,"Zoom in: Houston-based Tekmetric was attracted to Shopgenie's customer-centric approach and its rapid growth, Patel says.
• Tekmetric was Shopgenie's closest point-of-sale partner from a referral basis before the deal was inked, Shopgenie CEO Kieran O'Bri... [1959 symbols]",Sale
"In wake of Ken Paxton’s acquittal, Senate mulls changing rules for impeachment","AUSTIN – Work has begun on legislation to change state impeachment proceedings, a Texas Senate committee was told Tuesday.

After the Senate voted last year to acquit Attorney General Ken Paxton of impeachment charges, Lt. Gov. Dan Patrick criticized the ... [3641 symbols]",No Sale
"Franklin Templeton CEO on $260 billion in alternatives, growth strategy and recent acquistions",null,No Sale
Animation Distributor GKIDS Acquired by Japan’s Toho,"Animation distributor GKIDS has been acquired by Japan’s Toho.

GKIDS will become a wholly-owned subsidiary of the Los Angeles-based Toho International. Founder Eric Beckman will remain as CEO of GKIDS, and Dave Jesteadt will remain as president.

Beckman... [3138 symbols]",Sale
Westminster Acquisition: Princeton Adopts $50M Bond Ordinance,"The ordinance was first introduced on Sept. 9 along with an ordinance that authorizes the acquisition of the property “by negotiation, purchase, condemnation or eminent domain.” “Last week the local finance board held their meeting and unanimously approve... [1828 symbols]",No Sale
‘Trailer Park Boys’ Movie ‘Standing on the Shoulders of Kitties’ Acquired by Blue Fox Entertainment,"Blue Fox Entertainment and Blue Fox Canada have picked up North American digital and theatrical rights for comedy “Standing on the Shoulders of Kitties: The Bubbles and the Shitrockers Story.”

Featuring Mike Smith as Bubbles, Robb Wells as Ricky, John Pa... [1954 symbols]",No Sale
Bills acquiring Amari Cooper from Browns in AFC East arms race after Jets’ Davante Adams trade,"The Bills acquired the veteran wide receiver and a 2025-sixth-round pick from the Browns on Tuesday for a 2025 third-rounder and 2026 seventh-rounder, according to multiple reports.

Cooper, a five-time Pro Bowler, has 24 catches for 250 yards with two to... [541 symbols]",No Sale
Exclusive: Webflow acquires JavaScript library GSAP,"Webflow has acquired GreenSock, the business behind a popular JavaScript animation library and toolset, to help companies create more interactive and engaging websites, Axios has learned. Why it matters: The deal comes as marketers seek easier and more co... [1747 symbols]",Sale
"Adam Levine, Wife Behati Prinsloo's Calirosa Tequila Acquired by Amass","Raise your glasses! Adam Levine and Behati Prinsloo’s tequila brand, Calirosa Tequila, has been acquired by Amass Brands Group, a leading company in the alcohol world.

The Maroon 5 frontman and the Victoria’s Secret model first partnered with the Real Fa... [2439 symbols]",No Sale
"Hello Cake raises $18M Series B to fuel acquisitions, product pipeline","Hello Cake, a sexual wellness brand, raised $18 million to expand to more retailers and fuel its M&A, co-founders Hunter Morris and Mitch Orkis tell Axios exclusively. Why it matters: Investment activity in the sexual wellness category has grown alongside... [1952 symbols]",No Sale
"‘Life in Six Strings,’ Featuring Motley Crue’s Mick Mars, Def Leppard’s Phil Collen and Extreme’s Nuno Bettencourt, Acquired by DCD Rights","Leading U.K.-based distributor DCD Rights has acquired new music title “Life in Six Strings With Kylie Olsson,” which will launch next week at TV market Mipcom.

The eight-part series, described as “funny and insightful,” is produced by LISS Films. It see... [2669 symbols]",No Sale
Accused Cathedral City Applebee's Shooter Acquitted Of Murder,"A Riverside jury deliberated two days before finding 34-year-old Willie Ramirez Bustamante of Cathedral City not guilty in the death last year of Ernesto Lazcano Arroyo, also of Cathedral City. Riverside County Superior Court Judge Timothy Hollenhorst clo... [2527 symbols]",No Sale
Dallas County jury acquits man of capital murder in death of former OU football player,"A man was acquitted of capital murder last week in the death of a former University of Oklahoma football player, according to court records.

A Dallas County jury found John Williams not guilty Friday in the fatal shooting of 25-year-old Du’Vonta Lampkin.... [2900 symbols]",No Sale
Two former officers seek acquittal of obstruction charge in beating death of Tyre Nichols,"Tadarrius Bean and Justin Smith pleaded not guilty and were convicted on Oct. 3.

Two former officers seek acquittal of obstruction charge in beating death of Tyre Nichols

Attorneys for two former Memphis police officers convicted of obstruction in the b... [4686 symbols]",No Sale
Playing Politics with Steel Mergers Sends the Wrong Signals,"With the presidential race going into its final stretch, every and all political capital that candidates can make in key swing states is being exploited, including union and trade demands that counter long-term American interests.

Since late last year, t... [4228 symbols]",No Sale
"Man acquitted of murder, convicted of armed robbery in 2019 Union City shooting","A man was acquitted of murder but found guilty of weapon and armed robbery charges last week stemming from a 2019 Union City gas station shooting.

Airieon Dominique Young, 27, was sentenced to 25 years, to serve the first 18 years in prison with the rema... [626 symbols]",No Sale
Ubisoft Has Little Choice in Potential Tencent Acquisition,"After more than a year of extensive layoffs across the global gaming industry, French publisher Ubisoft has stood out as one entity unlikely to sustain the pressure of cost cutting and missed sales targets for high-profile games.

While not confirmed by e... [5129 symbols]",No Sale
Italy's top court overturns acquittals in Berlusconi Bunga Bunga case,"ROME, Oct 14 (Reuters) - Italy's supreme court on Monday overturned the acquittal of 23 people over allegations they took bribes from late prime minister Silvio Berlusconi to lie in an underage prostitution case that had dogged him for years.

The ruling ... [1871 symbols]",No Sale
Private Equity Firms Are Now Acquiring Skilled Trade Small Businesses,"Turns out those years at vocational school and going into business instead of going to college are starting to pay off.

Other than having the benefit of learning a trade, private equity has now taken a keen interest in buying skilled trade small business... [2261 symbols]",No Sale
'NBA Inside Stuff' merged NBA and pop culture before social media. Now it gets HOF treatment.,"'NBA Inside Stuff' merged NBA and pop culture before social media. Now it gets HOF treatment.

It’s uncommon for a television show to gain entry into a hall of fame, but ""NBA Inside Stuff"" was anything but a common program.

Now, 34 years after it launche... [7872 symbols]",No Sale
"After stunning courtroom twist, road-rage murder case ends in acquittal","The shooting happened in the predawn hours of April 10 along a stretch of Eisenhower Parkway, a main thoroughfare across Macon’s south side between I-75 and I-475. Fuller, mortally wounded, crashed into a backyard.

According to prosecutors, Jordan Dean f... [3859 symbols]",No Sale
Rangers legend Adam Graves helps fans acquire face value MSG tickets,New York Rangers legend Adam Graves joins New York Post Sports anchor Brandon London in-studio to talk about getting involved in Madison Square Garden’s ‘Fan First’ program to help Knicks and Rangers fans purchase tickets at face value.,No Sale
Jason Biggs’ Directorial Debut Action-Comedy ‘Getaway’ Acquired by Paramount’s Republic Pictures,"Paramount’s Republic Pictures has acquired global rights to Jason Biggs’ directorial debut feature, the tentatively titled action-comedy “Getaway.”

“Getaway,” in which the “American Pie” actor also stars, centers on a hapless husband who stages a home in... [2674 symbols]",No Sale
Kevin Spacey is back filming since sexual assault trial acquittal,"Kevin Spacey revealed he is back to filming an unknown project in Phoenix for the first time since his sexual assault trial acquittal one year earlier.

The House Of Cards actor, 65 - who 'refuses to leave' his $5.6 million Baltimore mansion after it was ... [5590 symbols]",No Sale
