content,title,Cat
"¡Azúcar!
Gloria Calderón Kellett has joined the Hyphenate Media Group family as the Cris Abrego and Eva Longoria-founded company acquires a stake in her GloNation Studios production banner. As their… [+3779 chars]",Gloria Calderón Kellett Secures Rights To Celia Cruz Estate As Hyphenate Media Group Acquires Stake in GloNation,No Sale
"After making history together with “Barbie,” Margot Robbie and Warner Bros. are at it again. The LuckyChap producer and star is set to lead frequent collaborator Emerald Fennell’s adaptation of “Wuth… [+3080 chars]",Margot Robbie Returns to Her ‘Barbie’ Dream House as Warner Bros. Acquires ‘Wuthering Heights’,No Sale
"The Postbox email app for Windows and macOS has been acquired by eM Client. Unfortunately, this also spells the end of Postbox.
It is a bad week for apps, first Syncthing for Android was discontinue… [+3893 chars]",eM Client acquires Postbox and ends its development,Sale
Infinite Realitys $45 million acquisition of Zappar offers a revealing look at both the growing consolidation in the XR industry and the shifting strategies of smaller AR innovators seeking sustainab… [+4290 chars],Infinite Reality Acquires Zappar For $45 Million,Sale
EXCLUSIVE: October is Jim “Kitty” Kaat’s time of year. Not only did the southpaw pitch in the World Series three times – winning a ring with the St. Louis Cardinals in 1982 – but he became a great br… [+2615 chars],"Gravitas Ventures Acquires ‘Kitty To Cooperstown,’ Doc On Beloved Major League Great Jim Kaat",No Sale
"Bleecker Street has taken North American rights to the Scott McGehee and David Siegel directed and written feature, The Friend, starring Naomi Watts, Bill Murray and a Great Dane named Bing. A 2025 t… [+2690 chars]","Bleecker Street Acquires ‘The Friend’; Pic Stars Bill Murray, Naomi Watts & A Great Dane Named Bing",No Sale
"Benjamin Clymer, who founded Hodinkee in 2008, will return to lead the watch enthusiast website
Hodinkee
The Watches of Switzerland Group (WOS) acquired online watch publication, Hodinkee, with the… [+3306 chars]",Watches Of Switzerland Acquires Popular Watch Website Hodinkee,Sale
"AI
pixabay
In a bold move that solidifies its position as the leader in artificial intelligence infrastructure, Nvidia has acquiredOctoAI, a Seattle-based startup specializing in generative AI tool… [+6032 chars]",Nvidia Acquires OctoAI To Dominate Enterprise Generative AI Solutions,Sale
"Front Row Filmed Entertainment has acquired global distribution rights for anthology film Disorder exploring Lebanon’s recent tumultuous years through the eyes of four directors.
The picture, which … [+3683 chars]",Front Row Acquires Nadine Labaki EP’d Anthology Film ‘Disorder’ Exploring Recent Lebanese History,No Sale
"A24 has taken acquired US distribution rights to Element Pictures’ filthy and comedic romance Pillion, starring Harry Melling and Emmy and Golden Globe winner Alexander Skarsgård. 
The debut feature… [+1554 chars]",A24 Acquires U.S. To Harry Melling & Alexander Skarsgård Bike Gang Romance ‘Pillion’,No Sale
"EXCLUSIVE: Sony Pictures Worldwide Acquisitions has acquired Latin America, France, Scandinavia, and a string of other international territories on Gia Coppola’s The Last Showgirl, starring Pamela An… [+1597 chars]","Sony Pictures Acquires Rest Of World On Gia Coppola’s ‘The Last Showgirl’, Starring Pamela Anderson",No Sale
"Independent Lens, the Emmy-winning ITVS series that airs on PBS stations, has acquired TV and digital rights to Nicholas Bruckman’s latest documentary, Minted.
The film, which premiered at the 2023 … [+3426 chars]","Independent Lens Acquires ‘Minted,’ Nicholas Bruckman Documentary About Volatile, Multiple Billion Dollar NFT Market",No Sale
"Czech National Bank lifted its holdings in Fastenal (NASDAQ:FAST - Free Report) by 6.9% in the third quarter, according to its most recent disclosure with the Securities &amp; Exchange Commission. Th… [+141 chars]","Czech National Bank Acquires 7,559 Shares of Fastenal (NASDAQ:FAST)",No Sale
"Axa S.A. lifted its holdings in shares of Diamondback Energy, Inc. (NASDAQ:FANG - Free Report) by 35.4% in the 2nd quarter, according to the company in its most recent disclosure with the Securities … [+139 chars]","Axa S.A. Acquires 6,575 Shares of Diamondback Energy, Inc. (NASDAQ:FANG)",No Sale
"Creative Planning lifted its holdings in Chord Energy Co. (NASDAQ:CHRD - Free Report) by 85.2% during the 2nd quarter, according to its most recent filing with the Securities &amp; Exchange Commissio… [+142 chars]","Creative Planning Acquires 6,786 Shares of Chord Energy Co. (NASDAQ:CHRD)",No Sale
"Perpetual Ltd grew its stake in Fortinet, Inc. (NASDAQ:FTNT - Free Report) by 98.7% in the 3rd quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The … [+139 chars]","Perpetual Ltd Acquires 12,054 Shares of Fortinet, Inc. (NASDAQ:FTNT)",No Sale
"SThree plc (LON:STEM - Get Free Report) insider Andrew Beach acquired 40 shares of the stock in a transaction on Monday, October 14th. The shares were acquired at an average price of GBX 367 ($4.80) … [+138 chars]",SThree plc (LON:STEM) Insider Acquires £146.80 in Stock,No Sale
"Sanctuary Advisors LLC purchased a new position in shares of ANSYS, Inc. (NASDAQ:ANSS - Free Report) in the second quarter, according to the company in its most recent Form 13F filing with the SEC. T… [+137 chars]","Sanctuary Advisors LLC Acquires Shares of 13,886 ANSYS, Inc. (NASDAQ:ANSS)",No Sale
"Squarepoint Ops LLC bought a new position in shares of AZZ Inc. (NYSE:AZZ - Free Report) during the 2nd quarter, according to the company in its most recent 13F filing with the Securities &amp; Excha… [+141 chars]","Squarepoint Ops LLC Acquires Shares of 17,408 AZZ Inc. (NYSE:AZZ)",No Sale
"Marshall Wace LLP bought a new position in Asana, Inc. (NYSE:ASAN - Free Report) in the second quarter, according to the company in its most recent Form 13F filing with the SEC. The firm bought 225,7… [+138 chars]","Marshall Wace LLP Acquires New Shares in Asana, Inc. (NYSE:ASAN)",No Sale
"ATCO Ltd. (TSE:ACO.X - Get Free Report) insider Sentgraf Enterprises Ltd. bought 1,000 shares of the stock in a transaction on Friday, September 27th. The shares were purchased at an average price of… [+138 chars]","ATCO Ltd. (TSE:ACO.X) Insider Sentgraf Enterprises Ltd. Acquires 1,000 Shares",No Sale
"Toronto Dominion Bank increased its holdings in CRH plc (NYSE:CRH - Free Report) by 421.4% in the 2nd quarter, according to its most recent disclosure with the Securities &amp; Exchange Commission. T… [+138 chars]","Toronto Dominion Bank Acquires 54,039 Shares of CRH plc (NYSE:CRH)",No Sale
"Axa S.A. boosted its stake in shares of Eastman Chemical (NYSE:EMN - Free Report) by 90.0% during the second quarter, according to the company in its most recent filing with the Securities &amp; Exch… [+141 chars]","Axa S.A. Acquires 20,183 Shares of Eastman Chemical (NYSE:EMN)",No Sale
"AE Wealth Management LLC bought a new position in shares of Kellanova (NYSE:K - Free Report) during the second quarter, according to its most recent filing with the Securities and Exchange Commission… [+135 chars]",AE Wealth Management LLC Acquires New Shares in Kellanova (NYSE:K),No Sale
"Sanctuary Advisors LLC acquired a new stake in Corning Incorporated (NYSE:GLW - Free Report) in the second quarter, according to the company in its most recent 13F filing with the SEC. The institutio… [+130 chars]",Sanctuary Advisors LLC Acquires New Shares in Corning Incorporated (NYSE:GLW),No Sale
"Assembly Biosciences, Inc. (NASDAQ:ASMB - Get Free Report) major shareholder Alexander Schornstein purchased 10,000 shares of the firm's stock in a transaction dated Tuesday, October 8th. The stock w… [+138 chars]","Assembly Biosciences, Inc. (NASDAQ:ASMB) Major Shareholder Acquires $145,800.00 in Stock",No Sale
"Personal Assets (LON:PNL - Get Free Report) insider Gordon Joseph Neilly purchased 55 shares of the firm's stock in a transaction dated Tuesday, October 8th. The shares were bought at an average pric… [+134 chars]",Personal Assets (LON:PNL) Insider Gordon Joseph Neilly Acquires 55 Shares,No Sale
"LHM Inc. bought a new stake in Kornit Digital Ltd. (NASDAQ:KRNT - Free Report) during the second quarter, according to the company in its most recent filing with the Securities and Exchange Commissio… [+134 chars]",LHM Inc. Acquires New Shares in Kornit Digital Ltd. (NASDAQ:KRNT),No Sale
"Perpetual Ltd boosted its holdings in shares of HDFC Bank Limited (NYSE:HDB - Free Report) by 6.2% in the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commiss… [+133 chars]","Perpetual Ltd Acquires 63,507 Shares of HDFC Bank Limited (NYSE:HDB)",No Sale
"Financial Insights Inc. increased its holdings in shares of Broadcom Inc. (NASDAQ:AVGO - Free Report) by 382.1% during the third quarter, according to the company in its most recent disclosure with t… [+135 chars]","Financial Insights Inc. Acquires 8,112 Shares of Broadcom Inc. (NASDAQ:AVGO)",No Sale
"Millennium Management LLC increased its holdings in shares of Zynex, Inc. (NASDAQ:ZYXI - Free Report) by 66.5% during the second quarter, according to the company in its most recent 13F filing with t… [+132 chars]","Millennium Management LLC Acquires 118,615 Shares of Zynex, Inc. (NASDAQ:ZYXI)",No Sale
"As the WNBA Playoffs rage on, the Jordan Heir is itself beginning to tip off. Jordan Brand’s first unisex offering, the latest addition to the Jumpman’s in-line basketball family was crafted with the… [+1867 chars]",The Jordan Heir Acquires A “Peach Jam” Colorway,No Sale
"UPDATED to clarify that Little, Big, and Far is a hybrid fiction-nonfiction film. EXCLUSIVE:Grasshopper Film has acquired North American distribution rights to Little, Big, and Far ahead of its world… [+3882 chars]","Grasshopper Film Acquires Jem Cohen’s Cosmic ‘Little, Big, And Far’ On Eve Of World Premiere At New York Film Festival",No Sale
"EXCLUSIVE:Grasshopper Film has acquired North American distribution rights to the documentary Little, Big, and Far ahead of its world premiere at the New York Film Festival.
The film from award-winn… [+3790 chars]","Grasshopper Film Acquires Cosmic Documentary ‘Little, Big, And Far’ On Eve Of World Premiere At New York Film Festival",No Sale
"This story was originally published on BioPharma Dive. To receive daily news and insights, subscribe to our free daily BioPharma Dive newsletter. 
Today, a brief rundown of news from Merck &amp; Co.… [+3810 chars]",Merck acquires cancer drug startup; Elevidys ex-US sales rise,Sale
"AQR Capital Management LLC increased its holdings in shares of Chegg, Inc. (NYSE:CHGG - Free Report) by 284.9% in the 2nd quarter, according to the company in its most recent filing with the Securiti… [+140 chars]","AQR Capital Management LLC Acquires 2,130,998 Shares of Chegg, Inc. (NYSE:CHGG)",No Sale
"AQR Capital Management LLC raised its holdings in Morgan Stanley (NYSE:MS - Free Report) by 34.6% during the second quarter, according to the company in its most recent Form 13F filing with the Secur… [+139 chars]","AQR Capital Management LLC Acquires 29,575 Shares of Morgan Stanley (NYSE:MS)",No Sale
"Value Partners Investments Inc. acquired a new stake in shares of Domino's Pizza, Inc. (NYSE:DPZ - Free Report) during the third quarter, according to its most recent Form 13F filing with the Securit… [+139 chars]","Value Partners Investments Inc. Acquires New Position in Domino's Pizza, Inc. (NYSE:DPZ)",No Sale
"Sanctuary Advisors LLC acquired a new position in shares of Albany International Corp. (NYSE:AIN - Free Report) in the second quarter, according to its most recent 13F filing with the SEC. The instit… [+130 chars]",Sanctuary Advisors LLC Acquires New Shares in Albany International Corp. (NYSE:AIN),No Sale
"Sanctuary Advisors LLC acquired a new stake in Dell Technologies Inc. (NYSE:DELL - Free Report) in the 2nd quarter, according to its most recent Form 13F filing with the SEC. The institutional invest… [+135 chars]",Sanctuary Advisors LLC Acquires New Stake in Dell Technologies Inc. (NYSE:DELL),No Sale
"Healthcare of Ontario Pension Plan Trust Fund bought a new position in Huntington Bancshares Incorporated (NASDAQ:HBAN - Free Report) in the 2nd quarter, according to its most recent Form 13F filing … [+142 chars]",Healthcare of Ontario Pension Plan Trust Fund Acquires New Holdings in Huntington Bancshares Incorporated (NASDAQ:HBAN),No Sale
"Sanctuary Advisors LLC bought a new position in American Water Works Company, Inc. (NYSE:AWK - Free Report) in the 2nd quarter, according to its most recent disclosure with the Securities &amp; Excha… [+141 chars]","Sanctuary Advisors LLC Acquires New Position in American Water Works Company, Inc. (NYSE:AWK)",No Sale
"Clearbridge Investments LLC bought a new position in shares of NRG Energy, Inc. (NYSE:NRG - Free Report) during the second quarter, according to its most recent disclosure with the Securities and Exc… [+139 chars]","Clearbridge Investments LLC Acquires Shares of 12,996 NRG Energy, Inc. (NYSE:NRG)",No Sale
"Millennium Management LLC lifted its holdings in shares of Stellus Capital Investment Co. (NYSE:SCM - Free Report) by 285.2% in the 2nd quarter, according to the company in its most recent disclosure… [+135 chars]","Millennium Management LLC Acquires 158,415 Shares of Stellus Capital Investment Co. (NYSE:SCM)",No Sale
"Empirical Asset Management LLC bought a new position in shares of Netflix, Inc. (NASDAQ:NFLX - Free Report) during the 3rd quarter, according to the company in its most recent Form 13F filing with th… [+148 chars]","Empirical Asset Management LLC Acquires New Stake in Netflix, Inc. (NASDAQ:NFLX)",No Sale
"Inspire Investing LLC bought a new stake in Civista Bancshares, Inc. (NASDAQ:CIVB - Free Report) during the 3rd quarter, according to the company in its most recent disclosure with the Securities &am… [+135 chars]","Inspire Investing LLC Acquires Shares of 51,974 Civista Bancshares, Inc. (NASDAQ:CIVB)",No Sale
"Inspire Investing LLC increased its holdings in Protagonist Therapeutics, Inc. (NASDAQ:PTGX - Free Report) by 256.8% during the third quarter, according to the company in its most recent 13F filing w… [+134 chars]","Inspire Investing LLC Acquires 26,280 Shares of Protagonist Therapeutics, Inc. (NASDAQ:PTGX)",No Sale
"Aurora Investment Counsel bought a new position in MGP Ingredients, Inc. (NASDAQ:MGPI - Free Report) in the second quarter, according to the company in its most recent Form 13F filing with the SEC. T… [+139 chars]","Aurora Investment Counsel Acquires New Shares in MGP Ingredients, Inc. (NASDAQ:MGPI)",No Sale
"3Chopt Investment Partners LLC acquired a new stake in shares of Post Holdings, Inc. (NYSE:POST - Free Report) in the 2nd quarter, according to the company in its most recent filing with the Securiti… [+139 chars]","3Chopt Investment Partners LLC Acquires Shares of 8,422 Post Holdings, Inc. (NYSE:POST)",No Sale
"Granite Bay Wealth Management LLC acquired a new stake in shares of Eversource Energy (NYSE:ES - Free Report) in the second quarter, according to its most recent filing with the Securities and Exchan… [+139 chars]",Granite Bay Wealth Management LLC Acquires New Position in Eversource Energy (NYSE:ES),No Sale
"Sei Investments Co. boosted its holdings in shares of MSA Safety Incorporated (NYSE:MSA - Free Report) by 110.1% during the second quarter, according to the company in its most recent Form 13F filing… [+134 chars]","Sei Investments Co. Acquires 18,208 Shares of MSA Safety Incorporated (NYSE:MSA)",No Sale
"INmune Bio, Inc. (NASDAQ:INMB - Get Free Report) CFO David J. Moss purchased 10,000 shares of the business's stock in a transaction that occurred on Monday, September 30th. The shares were purchased … [+142 chars]","INmune Bio, Inc. (NASDAQ:INMB) CFO David J. Moss Acquires 10,000 Shares",No Sale
"Canada Pension Plan Investment Board acquired a new stake in shares of Allegion plc (NYSE:ALLE - Free Report) during the 2nd quarter, according to the company in its most recent 13F filing with the S… [+143 chars]","Canada Pension Plan Investment Board Acquires Shares of 7,123 Allegion plc (NYSE:ALLE)",No Sale
"Bright Minds Biosciences Inc. (NASDAQ:DRUG - Get Free Report) major shareholder Cormorant Asset Management, Lp bought 372,591 shares of the stock in a transaction on Tuesday, October 15th. The shares… [+143 chars]","Bright Minds Biosciences Inc. (NASDAQ:DRUG) Major Shareholder Cormorant Asset Management, Lp Acquires 372,591 Shares",No Sale
"Digital 9 Infrastructure (LON:DGI9 - Get Free Report) insider Robert Burrow acquired 350,000 shares of the business's stock in a transaction on Thursday, October 17th. The shares were purchased at an… [+154 chars]","Robert Burrow Acquires 350,000 Shares of Digital 9 Infrastructure (LON:DGI9) Stock",No Sale
"Wealth Effects LLC purchased a new stake in shares of Iridium Communications Inc. (NASDAQ:IRDM - Free Report) in the third quarter, according to its most recent filing with the Securities &amp; Excha… [+153 chars]",Wealth Effects LLC Acquires New Holdings in Iridium Communications Inc. (NASDAQ:IRDM),No Sale
"IntegraFin Holdings plc (LON:IHP - Get Free Report) insider Alexander Scott bought 40 shares of the company's stock in a transaction on Monday, October 21st. The shares were bought at an average cost… [+136 chars]",Alexander Scott Acquires 40 Shares of IntegraFin Holdings plc (LON:IHP) Stock,No Sale
"Assenagon Asset Management S.A. grew its stake in shares of SLM Co. (NASDAQ:SLM - Free Report) by 3,800.6% during the 3rd quarter, according to the company in its most recent Form 13F filing with the… [+148 chars]","Assenagon Asset Management S.A. Acquires 2,344,691 Shares of SLM Co. (NASDAQ:SLM)",No Sale
"Assenagon Asset Management S.A. raised its stake in shares of WEC Energy Group, Inc. (NYSE:WEC - Free Report) by 151.7% during the 3rd quarter, according to its most recent filing with the SEC. The f… [+148 chars]","Assenagon Asset Management S.A. Acquires 351,972 Shares of WEC Energy Group, Inc. (NYSE:WEC)",No Sale
"Assenagon Asset Management S.A. bought a new position in Onto Innovation Inc. (NYSE:ONTO - Free Report) in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The fi… [+146 chars]",Assenagon Asset Management S.A. Acquires New Shares in Onto Innovation Inc. (NYSE:ONTO),No Sale
"Mediolanum International Funds Ltd grew its stake in AppLovin Co. (NASDAQ:APP - Free Report) by 49.9% during the third quarter, according to its most recent 13F filing with the Securities and Exchang… [+144 chars]","Mediolanum International Funds Ltd Acquires 18,686 Shares of AppLovin Co. (NASDAQ:APP)",No Sale
"Sanctuary Advisors LLC bought a new position in shares of DuPont de Nemours, Inc. (NYSE:DD - Free Report) in the second quarter, according to the company in its most recent filing with the Securities… [+141 chars]","Sanctuary Advisors LLC Acquires Shares of 48,967 DuPont de Nemours, Inc. (NYSE:DD)",No Sale
"Cetera Investment Advisers raised its holdings in American International Group, Inc. (NYSE:AIG - Free Report) by 13.5% during the second quarter, according to the company in its most recent 13F filin… [+135 chars]","Cetera Investment Advisers Acquires 7,784 Shares of American International Group, Inc. (NYSE:AIG)",No Sale
"Squarepoint Ops LLC lifted its holdings in Jack in the Box Inc. (NASDAQ:JACK - Free Report) by 296.5% in the second quarter, according to the company in its most recent disclosure with the Securities… [+143 chars]","Squarepoint Ops LLC Acquires 101,064 Shares of Jack in the Box Inc. (NASDAQ:JACK)",No Sale
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp increased its stake in DaVita Inc. (NYSE:DVA - Free Report) by 58.5% during the second quarter, according to its most recent filing with the SEC. The fund … [+140 chars]","BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp Acquires 3,794 Shares of DaVita Inc. (NYSE:DVA)",No Sale
"Canada Pension Plan Investment Board acquired a new stake in Leggett &amp; Platt, Incorporated (NYSE:LEG - Free Report) in the second quarter, according to the company in its most recent 13F filing w… [+139 chars]","Canada Pension Plan Investment Board Acquires Shares of 86,800 Leggett & Platt, Incorporated (NYSE:LEG)",No Sale
"Inspire Investing LLC bought a new position in shares of Columbia Banking System, Inc. (NASDAQ:COLB - Free Report) during the 3rd quarter, according to its most recent filing with the Securities &amp… [+140 chars]","Inspire Investing LLC Acquires New Shares in Columbia Banking System, Inc. (NASDAQ:COLB)",No Sale
"Tile Shop Holdings, Inc. (NASDAQ:TTSH - Get Free Report) major shareholder Fund 1 Investments, Llc purchased 3,000 shares of Tile Shop stock in a transaction dated Thursday, October 3rd. The shares w… [+130 chars]","Insider Buying: Tile Shop Holdings, Inc. (NASDAQ:TTSH) Major Shareholder Acquires 3,000 Shares of Stock",No Sale
"Marshall Wace LLP bought a new position in shares of STAG Industrial, Inc. (NYSE:STAG - Free Report) during the second quarter, according to the company in its most recent 13F filing with the Securit… [+140 chars]","Marshall Wace LLP Acquires New Position in STAG Industrial, Inc. (NYSE:STAG)",No Sale
"Paragon Capital Management Inc. bought a new position in Zoom Video Communications, Inc. (NASDAQ:ZM - Free Report) in the 3rd quarter, according to the company in its most recent Form 13F filing with… [+148 chars]","Paragon Capital Management Inc. Acquires Shares of 30,865 Zoom Video Communications, Inc. (NASDAQ:ZM)",No Sale
"McCollum Christoferson Group LLC bought a new position in shares of Byrna Technologies Inc. (NASDAQ:BYRN - Free Report) in the 3rd quarter, according to its most recent filing with the Securities and… [+145 chars]","McCollum Christoferson Group LLC Acquires Shares of 43,520 Byrna Technologies Inc. (NASDAQ:BYRN)",No Sale
"BlackRock Throgmorton Trust (LON:THRG - Get Free Report) insider Louise Nash bought 1,600 shares of the firm's stock in a transaction that occurred on Thursday, October 17th. The shares were purchase… [+144 chars]","Insider Buying: BlackRock Throgmorton Trust (LON:THRG) Insider Acquires 1,600 Shares of Stock",No Sale
"Truist Financial Corp grew its holdings in shares of Signet Jewelers Limited (NYSE:SIG - Free Report) by 204.3% during the second quarter, according to the company in its most recent filing with the … [+142 chars]","Truist Financial Corp Acquires 6,755 Shares of Signet Jewelers Limited (NYSE:SIG)",No Sale
"Lindsell Train Investment Trust Plc (LON:LTI - Get Free Report) insider Michael Lindsell purchased 34 shares of Lindsell Train Investment Trust stock in a transaction dated Friday, October 18th. The … [+149 chars]",Insider Buying: Lindsell Train Investment Trust Plc (LON:LTI) Insider Acquires 34 Shares of Stock,No Sale
"Rokmaster Resources Corp. (CVE:RKR - Get Free Report) Director John Martin Mirko acquired 1,000,000 shares of the business's stock in a transaction that occurred on Monday, October 21st. The stock wa… [+151 chars]","Rokmaster Resources Corp. (CVE:RKR) Director John Martin Mirko Acquires 1,000,000 Shares",No Sale
"Pinnacle West Capital Co. (NYSE:PNW - Get Free Report) Director Susan T. Flanagan bought 500 shares of the company's stock in a transaction dated Monday, August 5th. The stock was bought at an averag… [+140 chars]",Insider Buying: Pinnacle West Capital Co. (NYSE:PNW) Director Acquires 500 Shares of Stock,No Sale
"BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp increased its stake in shares of Assurant, Inc. (NYSE:AIZ - Free Report) by 58.6% during the second quarter, according to its most recent disclosure with t… [+134 chars]","BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp Acquires 3,680 Shares of Assurant, Inc. (NYSE:AIZ)",No Sale
"Newport Capital Group LLC acquired a new position in shares of Unum Group (NYSE:UNM - Free Report) during the 2nd quarter, according to the company in its most recent Form 13F filing with the Securit… [+136 chars]","Newport Capital Group LLC Acquires Shares of 8,788 Unum Group (NYSE:UNM)",No Sale
"Renaissance Technologies LLC increased its holdings in shares of Xeris Biopharma Holdings, Inc. (NASDAQ:XERS - Free Report) by 33.9% during the 2nd quarter, according to its most recent Form 13F fili… [+137 chars]","Renaissance Technologies LLC Acquires 342,300 Shares of Xeris Biopharma Holdings, Inc. (NASDAQ:XERS)",No Sale
"Tile Shop Holdings, Inc. (NASDAQ:TTSH - Get Free Report) major shareholder Fund 1 Investments, Llc bought 7,000 shares of the firm's stock in a transaction dated Friday, September 27th. The shares we… [+144 chars]","Insider Buying: Tile Shop Holdings, Inc. (NASDAQ:TTSH) Major Shareholder Acquires 7,000 Shares of Stock",No Sale
"The Gabelli Healthcare &amp; Wellness Trust (NYSE:GRX - Get Free Report) major shareholder Saba Capital Management, L.P. acquired 11,345 shares of the company's stock in a transaction on Thursday, Se… [+142 chars]","Saba Capital Management, L.P. Acquires 11,345 Shares of The Gabelli Healthcare & Wellness Trust (NYSE:GRX) Stock",No Sale
"MBB Public Markets I LLC bought a new position in Textron Inc. (NYSE:TXT - Free Report) during the second quarter, according to its most recent 13F filing with the SEC. The institutional investor bou… [+126 chars]",MBB Public Markets I LLC Acquires New Position in Textron Inc. (NYSE:TXT),No Sale
"APG Asset Management N.V. grew its holdings in MGM Resorts International (NYSE:MGM - Free Report) by 209.8% in the 2nd quarter, according to its most recent disclosure with the Securities &amp; Excha… [+142 chars]","APG Asset Management N.V. Acquires 23,700 Shares of MGM Resorts International (NYSE:MGM)",No Sale
"Toth Financial Advisory Corp boosted its stake in shares of United Therapeutics Co. (NASDAQ:UTHR - Free Report) by 122.3% during the 3rd quarter, according to its most recent Form 13F filing with the… [+148 chars]","Toth Financial Advisory Corp Acquires 1,590 Shares of United Therapeutics Co. (NASDAQ:UTHR)",No Sale
"Southwest Airlines Co. (NYSE:LUV - Get Free Report) Director Rakesh Gangwal bought 643,788 shares of the business's stock in a transaction on Tuesday, October 1st. The shares were acquired at an aver… [+140 chars]","Rakesh Gangwal Acquires 643,788 Shares of Southwest Airlines Co. (NYSE:LUV) Stock",No Sale
"NewEdge Advisors LLC boosted its stake in SoFi Technologies, Inc. (NASDAQ:SOFI - Free Report) by 32.3% in the second quarter, according to its most recent disclosure with the Securities and Exchange … [+135 chars]","NewEdge Advisors LLC Acquires 102,973 Shares of SoFi Technologies, Inc. (NASDAQ:SOFI)",No Sale
"Healthcare of Ontario Pension Plan Trust Fund increased its stake in Novo Nordisk A/S (NYSE:NVO - Free Report) by 45.8% during the 2nd quarter, according to its most recent filing with the Securities… [+143 chars]","Healthcare of Ontario Pension Plan Trust Fund Acquires 7,430 Shares of Novo Nordisk A/S (NYSE:NVO)",No Sale
"Velocity Composites plc (LON:VEL - Get Free Report) insider Robert Smith purchased 20,000 shares of the company's stock in a transaction on Friday, October 4th. The stock was bought at an average pri… [+138 chars]","Insider Buying: Velocity Composites plc (LON:VEL) Insider Acquires 20,000 Shares of Stock",No Sale
"Livforsakringsbolaget Skandia Omsesidigt raised its stake in shares of Edwards Lifesciences Co. (NYSE:EW - Free Report) by 47.5% during the 3rd quarter, according to the company in its most recent Fo… [+133 chars]","Livforsakringsbolaget Skandia Omsesidigt Acquires 8,000 Shares of Edwards Lifesciences Co. (NYSE:EW)",No Sale
"Marshall Wace LLP bought a new position in shares of Apogee Therapeutics, Inc. (NASDAQ:APGE - Free Report) in the 2nd quarter, according to its most recent 13F filing with the Securities &amp; Exchan… [+144 chars]","Marshall Wace LLP Acquires New Position in Apogee Therapeutics, Inc. (NASDAQ:APGE)",No Sale
